parse_text,parse_name
"['Ozempic', 'ini', 'benar', 'lagi', 'happening', 'di', 'amrik', 'Mega', 'best', 'seller', 'Obat', 'pengurus', 'badan', 'yg', 'terbukti', 'valid', 'scra', 'saintifik', 'Pil', 'ajaib', 'bagi', 'yg', 'mau', 'turun', 'badan', 'dg', 'cepat', 'Yg', 'bkin', 'Novo', 'Nordisk', 'produsen', 'insulin', 'terbesar', 'dunia', 'dari', 'Denmark', 'Saham', 'Novo', 'Nordisk', 'meroket', 'gara', 'Ozempic', 'httpstcokhiCdsvQ']",['StrategiBisnis']
"['Prestasi', 'ringgit', 'vs', 'USD', 'dan', 'saham', 'Msia', 'as', 'at', 'Jan', 'Ringgit', 'ke', 'lemah', 'after', 'yen', 'won', 'baht', 'down', 'hampir', 'Tapi', 'saham', 'KLCI', 'naik', 'second', 'only', 'to', 'Japan', 'Can', 't', 'have', 'both', 'our', 'way', 'httpstcoaEZsluMa']",['azhanordin']
"['erickthohir', 'ridwankamil', 'Jadi', 'ingat', 'kata', 'Abang', 'nya', 'yg', 'kata', 'nya', 'konglomerat', 'mendukung', 'Paslon', 'Besok', 'nya', 'saham', 'nya', 'ambruk', 'Kalau', 'gw', 'sih', 'percaya', 'dengan', 'Ahok', 'httpstcodRJnTGntM']",['Aryprasetyo']
"['SAHAM', 'COFFEE', 'SHOP']",['laenadine']
"['profesorsaham', 'tolol']",['cubakboy']
"['SAHAM', 'COFFEE', 'SHOP']",['guinevas']
"['Dalam', 'saham', 'selain', 'daripada', 'capital', 'gain', 'banyak', 'syarikat', 'yang', 'bagi', 'pulangan', 'dalam', 'bentuk', 'dividen', 'Imagine', 'lepas', 'bersara', 'dapat', 'dividen', 'as', 'passive', 'income', 'Paling', 'penting', 'strategi', 'kena', 'betul', 'Aku', 'cadangkan', 'beli', 'buku', 'ni', 'until', 'belajar', 'httpstcorjiXQEwkr', 'bukunajib']",['najibfazail']
"['matchaltt', 'ehhh', 'family', 'dia', 'tu', 'kenapa', 'nak', 'komplot', 'Rasa', 'dia', 'salah', 'dtg', 'minta', 'maaf', 'hulur', 'lah', 'berapa', 'yg', 'mampu', 'utk', 'tolong', 'Kalau', 'takda', 'show', 'support', 'dia', 'perangai', 'kalah', 'apa', 'ni', 'jangan', 'support', 'makcik', 'pakcik', 'Saham', 'dosa', 'Korang', 'kan', 'suka', 'forward', 'benda', 'fb', 'wstakda', 'ke', 'yg', 'bgtau', 'pasal', 'dosa', 'subahat']",['ilusinetra']
"['Price', 'action', 'discount', 'everything', 'trading', 'saham', 'forex', 'stocks', 'httpstcorlwLaRkCI']",['werdhitemaja']
"['kurawa', 'Apa', 'anda', 'tahu', 'amp', 'berfikir', 'akibat', 'pembagunan', 'yg', 'terkesan', 'dipaksakan', 'tsb', 'telah', 'mengorbankan', 'BUMN', 'Karya', 'Indikatornya', 'Saham', 'BUMN', 'di', 'BEJ', 'pada', 'Nyungsep', 'WSKT', 'WIKA', 'amp', 'WSBP', 'di', 'suspen', 'berbulan', 'karena', 'gagal', 'bayar', 'kemungkinan', 'yg', 'lain', 'nyusul', 'BUMN', 'TIDAK', 'BAIK', 'SAJA', 'httpstcoyMADvZmIT']",['MR']
"['Harga', 'Bitcoin', 'BTC', 'dan', 'indeks', 'saham', 'AS', 'melemah', 'pada', 'hari', 'Kamis', 'pagi', 'pasca', 'The', 'Fed', 'mempertahankan', 'laju', 'suku', 'bunga', 'acuan', 'pada', 'level', 'Selengkapnya', 'httpstcoJisIQzpeWk']",['Tokocrypto']
"['Harga', 'saham', 'turun', 'bukannya', 'justru', 'kesempatan', 'untuk', 'dividen', 'hunting', 'bulan', 'Maret', 'nanti', 'Beberapa', 'emiten', 'sudah', 'menyampaikan', 'rencana', 'RUPS', 'Tahunan']",['KokoGiovanni']
"['Masih', 'gak', 'habis', 'pikir', 'kenapa', 'ngomongin', 'saham', 'agensi', 'turun', 'tapi', 'acuannya', 'kosqad', 'yg', 'tinggal', 'search', 'di', 'internet', 'plis', 'lahhh']",['youthofmay']
"['profesorsaham', 'Cuman', 'telu', 'persen', 'cuk', 'httpstcoAOHshHV']",['drinvestrade']
"['profesorsaham', 'Go', 'ahead']",['tradernubie']
"['Awalnya', 'sesumbar', 'ngaku', 'mendukung', 'Pas', 'saham', 'anjlok', 'baru', 'pada', 'membantah', 'AMINAjaDulu', 'httpstcoUPFJVD']",['PAKRT']
"['Saham', 'TLKM', 'masih', 'oke', 'punya', 'nih', 'sepertinya', 'httpstcouICBUnNCa']",['ngomonginsaham']
"['We', 'are', 'starting', 'now', 'Smash', 'Saham', 's', 'Featuring', 'Soudsamus', 'Divine', 'RKB', 'Starmod', 'Saham', 'and', 'more', 'Stream', 'httpstcozrGvQWhXA', 'Bracket', 'httpstcoJoJwdjl']",['soudsamus']
"['Bahas', 'high', 'dong', 'deviden', 'prof', 'profesorsaham']",['drinvestrade']
"['profesorsaham', 'Micky']",['keepbeingnice']
['httpstcoJXFeonePI'],['SAHAMCompany']
"['Nampak', 'tak', 'majoriti', 'syarikat', 'dia', 'adalah', 'sdn', 'bhd', 'Sbb', 'tu', 'cukai', 'pd', 'transaksi', 'saham', 'syarikat', 'unlisted', 'ni', 'penting', 'It', 'carries', 'high', 'values', 'Shareholders', 'will', 'be', 'damn', 'rich']",['HannZiq']
"['Asli', 'ini', 'mah', 'kayak', 'lagi', 'rapat', 'pemegang', 'saham', 'CAKEP', 'BANGET', 'LU', 'PERAWAT', 'Krist', 'in', 'FukuokaDay', 'GMMTVFANTIMEinFukuokaDay', 'GMMTVFANTIMExKRIST', 'KristPerawat', 'httpstcoEGsyQoXoS']",['afhprchya']
"['Borak', 'Bersama', 'Maybank', 'Highlights', 'Maybank', 'IB', 'Researchs', 'Top', 'Stock', 'Picks', 'To', 'wrap', 'up', 'our', 'latest', 'market', 'outlook', 'webinar', 'our', 'analysts', 'shared', 'with', 'us', 'their', 'top', 'picks', 'going', 'in', 'Check', 'out', 'the', 'video', 'to', 'find', 'out', 'what', 'they', 'are', 'BorakBersamaMaybank', 'httpstcoVztOXcPwV']",['azmiradarsaham']
"['MY', 'STOCKS', 'PICK', 'PSE', 'PHILIPPINE', 'STOCK', 'EXCHANGE', 'DISCLAIMER', 'THIS', 'ISNT', 'A', 'BUY', 'CALL', 'ITS', 'MY', 'LISTING', 'DO', 'YOUR', 'OWN', 'ANALYSIS', 'TRADE', 'AT', 'YOUR', 'OWN', 'RISK', 'httpstcoqSkWpZrJO', 'PSE', 'PhilippineStockExchange', 'Philippine', 'Stock', 'Exchange', 'Philippines', 'MetroManila', 'saham', 'syariah', 'httpstcoNOQHJIY']",['niagapasar']
"['Sahamfess', 'Hadir']",['fremnkie']
"['Gua', 'emang', 'bilang', 'bakal', 'lebih', 'banyak', 'nulis', 'sih', 'di', 'tahun', 'ini', 'tapi', 'napa', 'gua', 'malah', 'kebanyakan', 'nulis', 'analisia', 'saham', 'ya', 'httpstcosdksekHzm']",['AquaReqia']
"['MY', 'STOCKS', 'PICK', 'IDX', 'BURSA', 'EFEK', 'INDONESIA', 'BEI', 'DISCLAIMER', 'THIS', 'ISNT', 'A', 'BUY', 'CALL', 'ITS', 'MY', 'LISTING', 'DO', 'YOUR', 'OWN', 'ANALYSIS', 'TRADE', 'AT', 'YOUR', 'OWN', 'RISK', 'httpstcoqSkWpZrJO', 'IDX', 'BEI', 'BursaEfekIndonesia', 'Bursa', 'Efek', 'Indonesia', 'Jakarta', 'saham', 'stock', 'equity', 'exchange', 'syariah', 'httpstcoohUSTjEj']",['niagapasar']
"['profesorsaham', 'Alay']",['AnggoroA']
"['MY', 'STOCKS', 'PICK', 'MYX', 'BURSA', 'MALAYSIA', 'DISCLAIMER', 'THIS', 'ISNT', 'A', 'BUY', 'CALL', 'ITS', 'MY', 'LISTING', 'DO', 'YOUR', 'OWN', 'ANALYSIS', 'TRADE', 'AT', 'YOUR', 'OWN', 'RISK', 'httpstcoqSkWpZrJO', 'MYX', 'BME', 'BursaMalaysia', 'Bursa', 'Malaysia', 'KualaLumpur', 'stock', 'equity', 'saham', 'exchange', 'trade', 'market', 'syariah', 'httpstcoNRocEnZyp']",['niagapasar']
"['Partai', 'socmed', 'kontol', 'mana', 'cok']",['profesorsaham']
"['theoreticallie', 'profesorsaham', 'agree']",['leeale']
"['profesorsaham', 'Prof']",['EvaMalca']
"['Fahad', 'httpstcoKXjiUNDCZ', 'httpstcoFFKRiVWkM']",['GorgeousSaham']
"['profesorsaham', 'Ip', 'Ching']",['millionnials']
"['profesorsaham', 'Tololllll']",['sofyandi']
['httpstcoLtRJXubu'],['SAHAMCompany']
"['taufikjf', 'Sahamfess', 'itbofficial', 'ItjenKemdikbud', 'ojkindonesia', 'kemenpendidikan', 'nadiemmakarim', 'well', 'this', 'is', 'indonesia', 'woi']",['kolooo']
"['Narasi', 'anies', 'itu', 'aslinya', 'jd', 'Blunder', 'semua', 'cm', 'ya', 'gitu', 'g', 'ad', 'yg', 'garap', 'krn', 'aslinya', 'bisa', 'jd', 'joke', 'kyk', 'papa', 'minta', 'saham', 'Orng', 'pinter', 'milih', 'aniesjd', 'yg', 'g', 'milih', 'bodoh', 'sdng', 'anies', 'aja', 'Angin', 'ga', 'ad', 'ktpnya', 'Anies', 'iman', 'Mahdi', 'Ga', 'milih', 'anies', 'di', 'ragukan', 'ke', 'islamannya', 'bnyk', 'counternya', 'httpstcoYoOLWNRHCy']",['tekarok']
"['profesorsaham', 'httpstcoIphthHNB']",['Trisugaak']
"['Amateurs', 'look', 'for', 'challenges', 'professionals', 'look', 'for', 'easy', 'trades', 'Losers', 'get', 'high', 'from', 'the', 'actions', 'the', 'pros', 'look', 'for', 'the', 'best', 'odds', 'probabilitieschances', 'Excerpt', 'from', 'Come', 'Into', 'My', 'Trading', 'Room', 'by', 'Dr', 'Alexander', 'Elder', 'komunitisaham']",['komunitisaham']
"['Pasar', 'saham', 'IHSG', 'ndelosor', 'Mau', 'gimana', 'lagi', 'Yang', 'biasanya', 'menopang', 'IHSG', 'hari', 'ini', 'pada', 'cuti', 'massal', 'saham', 'big', 'bank', 'PP', 'EBT', 'httpstcoytdwJtsm']",['desmondwira']
"['Ada', 'lagi', 'satu', 'menteri', 'berintegritas', 'yg', 'dibuang', 'dari', 'kabinet', 'Sudirman', 'Said', 'Beliau', 'adlh', 'menteri', 'ESDM', 'yg', 'gencar', 'menghantam', 'mafia', 'migas', 'Ia', 'adalah', 'sosok', 'yg', 'membubarkan', 'sarang', 'mafia', 'Petral', 'dan', 'melaporkan', 'Setya', 'Novanto', 'si', 'Papa', 'Minta', 'Saham', 'ke', 'MKD']",['GradyNagara']
"['Mother', 'of', 'the', 'North', 'Queen', 'of', 'Dragons']",['sahamsahm']
"['Kalau', 'dua', 'putaran', 'berarti', 'makin', 'OP', 'dong', 'petugas', 'KPPS', 'dapat', 'juta', 'dua', 'hari', 'kerja']",['profesorsaham']
"['Saham', 'people', 'are', 'crazy', 'ong']",['offshahla']
"['Setelah', 'pernyataan', 'Boy', 'thohir', 'yg', 'mendukung', 'saham', 'adaro', 'anjlok', 'Klarifikasi', 'Adaro', 'Energy', 'dan', 'group', 'djarum', 'KOMPAK', 'BANTAH', 'dukung', 'Prabowo', 'Hmmm', 'efeck', 'negatif', 'dong', 'httpstcoKTFvgQMjW']",['QalbuBahasa']
"['yuhuu', 'aku', 'bakal', 'update', 'persidangan', 'manipulasi', 'harga', 'saham', 'sm', 'ini', 'lebih', 'ke', 'kakao', 'vs', 'hybe', 'inget', 'kan', 'dari', 'banyaknya', 'pelaku', 'yang', 'dipenjara', 'siapa', 'cuma', 'bapak', 'ini', 'bae', 'jaehyun', 'bukan', 'bae', 'joohyun', 'kepala', 'investasinya', 'kakao', 'tapi', 'ditahannya', 'cuma', 'bln', 'njir', 'awokwok', 'bentar', 'amat', 'httpstcoMxZzpcnDwN']",['termatcha']
"['What', 'are', 'five', 'topics', 'you', 'can', 'talk', 'about', 'for', 'minutes', 'with', 'zero', 'prep', 'Taylor', 'Swift', 'Math', 'vs', 'Statistics', 'vs', 'Actuary', 'Kartu', 'kredit', 'Investasi', 'Saham', 'amp', 'Reksadana', 'Public', 'transportation', 'Seoul']",['likelihoodrato']
"['Good', 'one', 'httpstcohAtjCfoU']",['majusaham']
"['Ekonomi', 'gig', 'yg', 'selalu', 'dipujapuji', 'sebagai', 'ekonomi', 'masa', 'depan', 'dan', 'pembawa', 'kesejahteraan', 'tak', 'seindah', 'yg', 'dituturkan', 'oleh', 'para', 'spekulan', 'saham', 'atau', 'majikan', 'Nasib', 'ojol', 'seperti', 'yang', 'diwartakan', 'banyak', 'media', 'menghadapi', 'kondisi', 'kerja', 'yg', 'buruk', 'dan', 'menerima', 'pemasukan', 'tidak', 'sepadan', 'httpstcoYHqmIgIp']",['IdTrimurti']
"['profesorsaham', 'Kepencet', 'Buy', 'Scatter']",['ichsanbaim']
"['profesorsaham', 'sell', 'on', 'news']",['msrrohman']
"['Yg', 'ngerti', 'saham', 'nih', 'Pada', 'kompak', 'tuh', 'berubah', 'warna', 'jadi', 'merah', 'Tau', 'kan', 'arti', 'merah', 'Hahaha', 'httpstcoAqjKFGJC']",['keepitseigi']
"['profesorsaham', 'Tim', 'nyimak']",['pengendisayan']
"['mandalaurieann', 'profesorsaham', 'NAMA', 'Beauty']",['atieess']
"['rek', 'kalo', 'mau', 'invest', 'di', 'saham', 'US', 'pake', 'aplikasi', 'apa', 'ya', 'biasanya']",['sbyfess']
"['Valuasi', 'Saham', 'Demystified', 'a', 'podcast', 'by', 'Christian', 'CFA', 'Feb', 'at', 'PM', 'Join', 'now', 'httpstcofSmjOjs', 'FREE', 'httpstcoKLqvCxIDiI']",['axlarry']
"['Kerajaan', 'Sarawak', 'akan', 'memuktamadkan', 'penambahan', 'pegangan', 'saham', 'mereka', 'di', 'dalam', 'Affin', 'Bank', 'Berhad', 'dalam', 'masa', 'terdekat', 'Premier', 'Sarawak', 'Abang', 'Jo', 'berkata', 'pihaknya', 'kini', 'masih', 'lagi', 'berunding', 'bersama', 'pihak', 'Affin', 'Bank', 'dan', 'LTAT', 'httpstcoZGRIeBqLIK']",['datukhensem']
"['MY', 'STOCKS', 'PICK', 'MYX', 'BURSA', 'MALAYSIA', 'DISCLAIMER', 'THIS', 'ISNT', 'A', 'BUY', 'CALL', 'ITS', 'MY', 'LISTING', 'DO', 'YOUR', 'OWN', 'ANALYSIS', 'TRADE', 'AT', 'YOUR', 'OWN', 'RISK', 'httpstcoqSkWpZrJO', 'MYX', 'BME', 'BursaMalaysia', 'Bursa', 'Malaysia', 'KualaLumpur', 'stock', 'equity', 'saham', 'exchange', 'trade', 'market', 'syariah', 'httpstcopMvqlgGjU']",['niagapasar']
"['Sahamfess', 'UNTD']",['feegaprynto']
"['profesorsaham', 'Sell', 'in', 'good', 'news']",['morethanlifee']
"['profesorsaham', 'The', 'heck', 'did', 'I', 'just', 'watch']",['xhydarnus']
"['ChaserZHANGHAO', 'Hi', 'hao', 'minta', 'saham', 'perusahaan', 'papa', 'kamu']",['ChaserROWOON']
"['Thanks', 'to', 'Bumble', 'httpstcocULwHECx']",['SahamReceh']
"['Sdf', 'Rekomen', 'saham', 'buat', 'jangka', 'panjang', 'dong', 'slain', 'bbca', 'dan', 'bbri', 'apa', 'ya']",['darjofess']
"['profesorsaham', 'masih', 'profesional', 'sih', 'itu', 'httpstcovnUEwTtNm']",['vesuuya']
"['Per', 'negatif', 'Pbv', 'tinggi', 'Sahamnya', 'httpstcoJuQPQPv']",['TradingDiary']
['httpstcoRhTQlzoK'],['sahamaljomaih']
"['profesorsaham', 'bung', 'towel']",['konglomarket']
